FC gene
0.417208557917524 ANPEP
-1.05828318876194 ANTKMT
1.94745566250465 ANTXR1
1.13996608732252 ANTXR2
0.854936037922914 ANTXRL
0.987768882131607 ANXA1
-0.123641893436299 ANXA11
-0.0628248984017321 ANXA2
-1.9315674361126 ANXA2P2
0.354103512865862 ANXA2R
2.88689213378643 ANXA3
0.715539616565865 ANXA4
0.785160013277287 ANXA5
0.335331010598786 ANXA6
-0.0762838911242796 ANXA7
-1.06861731371957 ANXA8L1
-0.181123074483321 ANXA9
0.94959067622284 AOC2
1.57457020960204 AOC3
0.0919689340872432 AOPEP
-0.472982954834266 AOX1
0.282674705291643 AP1AR
-0.401075505212304 AP1B1
-0.0973765442248198 AP1G1
0.312059350422479 AP1G2
0.452137186942125 AP1M1
-0.414608595051121 AP1M2
0.0981939940115835 AP1S1
0.43739452069067 AP1S2
-0.146882845023889 AP1S3
-0.310726330549928 AP2A1
0.838517681844486 AP2A2
0.114735200586684 AP2B1
-0.106835547590097 AP2B1P1
-0.0432920679288896 AP2M1
0.394809859177662 AP2S1
0.133612612775544 AP3B1
2.8926693877869 AP3B2
0.106659396012482 AP3D1
0.267257823814724 AP3M1
0.518320319477591 AP3M2
-0.286313607532963 AP3S1
0.19935702039906 AP3S2
-0.385718148402412 AP4B1
0.166415337829893 AP4E1
0.1896474208605 AP4M1
-0.339646478978917 AP4S1
-0.141510957222959 AP5B1
-0.348145039228641 AP5M1
-0.0892104971278492 AP5S1
0.188839023436037 AP5Z1
0.499731858505103 APAF1
2.77245607535188 APBA1
0.190942477657086 APBA2
0.369474418252131 APBA3
1.13548291885045 APBB1
2.30478104172818 APBB1IP
3.44641395240849 APBB2
0.646436406591083 APBB3
-0.445110619210111 APC
-1.51767709673755 APC2
-0.519409962017335 APEH
-0.0485925990062834 APEX1
0.0486834787517808 APEX2
-0.0690996412940634 APH1A
0.420085895196865 APH1B
-0.380922501820052 API5
0.854936037922915 API5P2
-0.421894471583365 APIP
2.12014419854733 APLF
0.854936037922915 APLN
-1.42530083492504 APLNR
0.851490915842369 APLP1
-0.378674612302777 APLP2
0.168981251441507 APMAP
0.854936037922914 APOA1
-1.07694145202935 APOA2
2.73735916317767 APOB
0.275164482234128 APOBEC3B
-0.60948720449723 APOBEC3C
-0.615706998029507 APOBEC3D
-0.163218856945163 APOBEC3F
-0.0097296001167018 APOBEC3G
1.70961541424193 APOBEC3H
0.0978670681217698 APOBR
-0.214467042560318 APOC1
0.854936037922914 APOC1P1
-0.157394247001203 APOC2
-0.10501523777394 APOC4
0.816285813632564 APOD
-0.446729307606614 APOE
-1.06861731371957 APOF
0.821971773334491 APOL1
0.845221457321508 APOL2
0.196897053270174 APOL3
0.90190159060491 APOL4
3.76260726473392 APOL6
1.11553250104659 APOLD1
0.24822623804862 APOM
0.343015819425362 APOO
-0.219332853902525 APOOL
2.42948507373941 APP
0.520124415033362 APPBP2
0.429137419938792 APPL1
0.147138150715869 APPL2
-0.365941839122924 APRT
-0.200782840259254 APTX
-2.31568667088373 AQP1
-0.793358460275237 AQP10
0.665496536790677 AQP11
-0.958354029443869 AQP3
-1.06861731371957 AQP4
-2.05674782470564 AQP6
0.611102570137721 AQP7
0.698341430079236 AQP9
-0.313083482638353 AQR
3.56648095651351 AR
0.0150310203573146 ARAF
-0.230674165792845 ARAP1
4.94940312972967 ARAP2
-0.712657124228444 ARAP3
0.841236655194068 ARB2A
-0.13325900229148 ARB2BP
2.06796050879601 ARC
0.134801545665261 ARCN1
0.521279417805279 AREG
-0.404050732634782 AREL1
-0.337329311886282 ARF1
0.103920648850246 ARF3
0.0413523511640876 ARF4
0.323934011633083 ARF5
0.202599923320534 ARF6
-0.0382981968379995 ARFGAP1
-0.104982159349756 ARFGAP2
0.729106156592235 ARFGAP3
0.0465709013333101 ARFGEF1
-0.117783507294101 ARFGEF2
0.854936037922915 ARFGEF3
0.0657705659735679 ARFIP1
-0.161345831885485 ARFIP2
-0.128063806809216 ARFRP1
0.854936037922914 ARG1
2.01551392861594 ARG2
-0.0189798408812633 ARGLU1
0.167128803723156 ARHGAP1
3.73427537301973 ARHGAP10
0.117088301700907 ARHGAP11A
-0.876804364823395 ARHGAP11A-SCG5
2.00744975834952 ARHGAP11B
-0.0209966817571257 ARHGAP12
0.34679557704545 ARHGAP15
-0.242481772759444 ARHGAP17
0.19705732623284 ARHGAP18
0.132898976525422 ARHGAP19
-0.247398396722123 ARHGAP21
-1.74286605384173 ARHGAP22
-0.684549630949877 ARHGAP23
-0.832090733856683 ARHGAP24
1.45744112235121 ARHGAP25
2.49402571534175 ARHGAP26
1.75497940006792 ARHGAP27
0.675871270129082 ARHGAP28
1.21742397136845 ARHGAP29
0.0440246525217717 ARHGAP30
0.801189522144163 ARHGAP31
2.79287708453953 ARHGAP32
0.123017871589626 ARHGAP33
0.490245385682576 ARHGAP35
-2.04749955024779 ARHGAP36
0.484084965874305 ARHGAP39
-0.324178884005585 ARHGAP4
2.29972903352998 ARHGAP40
0.81148151126257 ARHGAP42
0.854936037922914 ARHGAP42P1
0.854936037922914 ARHGAP42P2
0.854936037922915 ARHGAP42P3
1.30944470892537 ARHGAP44
-0.680848848535207 ARHGAP45
0.0279823739796692 ARHGAP5
0.406015666405873 ARHGAP6
-1.44892308279178 ARHGAP8
1.258201810304 ARHGAP9
-0.49953833089843 ARHGDIA
-0.00639940293996998 ARHGDIB
